url,url_clean,url_domain,title,time,day_of_month,month_of_year,total_history_days,seconds_until_next_visit_url,seconds_until_next_visit_url_clean,seconds_until_next_visit_domain,seconds_until_next_visit,page_transition,month_year
https://chromewebstore.google.com/detail/chrome-history-analysis-t/kjfkhfjdkckhgkccnblkancahbficfop,chromewebstore.google.com/detail/chrome-history-analysis-t/kjfkhfjdkckhgkccnblkancahbficfop,chromewebstore.google.com,Chrome History Analysis to CSV - Chrome Web Store,2025-11-28 23:26:00,28,11,21,519,519,519,519,link,2025-11
https://justdataplease.medium.com/analyzing-chrome-browsing-history-5d09b50738c4,justdataplease.medium.com/analyzing-chrome-browsing-history-5d09b50738c4,justdataplease.medium.com,Analyzing Chrome Browsing History | by Jason Tragakis | Medium,2025-11-28 23:25:00,28,11,21,583,583,583,64,link,2025-11
https://www.google.com/search?sca_esv=1939b7fac6b66ed5&sxsrf=AE3TifO1vaWCZ3KW8-rtV6PLRxx1qQ0uGQ:1764343307971&q=how+to+get+json+file+of+your+search+history+in+google&sa=X&ved=2ahUKEwiWsoiBk5WRAxUdxTgGHdPAPT8Q7xYoAHoECA0QAQ&biw=1313&bih=563&dpr=1.46,www.google.com/search,www.google.com,how to get json file of your search history in google - Google Search,2025-11-28 23:25:00,28,11,21,594,594,594,10,link,2025-11
https://chromewebstore.google.com/detail/export-historybookmarks-t/dcoegfodcnjofhjfbhegcgjgapeichlf?hl=en,chromewebstore.google.com/detail/export-historybookmarks-t/dcoegfodcnjofhjfbhegcgjgapeichlf,chromewebstore.google.com,Export History/Bookmarks to JSON/CSV*/XLS* - Chrome Web Store,2025-11-28 23:25:00,28,11,21,600,600,81,6,link,2025-11
https://www.google.com/search?sca_esv=1939b7fac6b66ed5&sxsrf=AE3TifO1vaWCZ3KW8-rtV6PLRxx1qQ0uGQ:1764343307971&q=how+to+get+json+file+of+your+search+history+in+google&sa=X&ved=2ahUKEwiWsoiBk5WRAxUdxTgGHdPAPT8Q7xYoAHoECA0QAQ&biw=1313&bih=563&dpr=1.46,www.google.com/search,www.google.com,how to get json file of your search history in google - Google Search,2025-11-28 23:21:00,28,11,21,196,196,196,190,link,2025-11
https://www.google.com/search?q=how+to+get+json+file+of+our+search+history+in+google&oq=how+to+get+json+file+of+our+search+history+in+google&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIJCAEQIRgKGKABMgkIAhAhGAoYoAEyBwgDECEYjwIyBwgEECEYjwLSAQkxMjAwOWowajmoAgawAgHxBcsYvaimLNFe&sourceid=chrome&ie=UTF-8,www.google.com/search,www.google.com,how to get json file of our search history in google - Google Search,2025-11-28 23:21:00,28,11,21,793,4,4,4,generated,2025-11
https://www.google.com/search?q=nter+the+following+into+the+interactive+shell%3A+%3E%3E%3E+import+PyPDF2+%3E%3E%3E+pdfFileObj+%3D+open%28%27meetingminutes.pdf%27%2C+%27rb%27%29+%3E%3E%3E+pdfReader+%3D+PyPDF2.PdfFileReader%28pdfFileObj%29+u+%3E%3E%3E+pdfReader.numPages+19+v+%3E%3E%3E+pageObj+%3D+pdfReader.getPage%280%29+w+%3E%3E%3E+pageObj.extractText%28%29+%27OOFFFFIICCIIAALL+BBOOAARhow+do+i+run+pythin+in+terminal&sca_esv=1939b7fac6b66ed5&sxsrf=AE3TifMIryn9o4Dul55W9Q-wTyl4Iq11zA%3A1764342565757&ei=Jbspae_wLb7j4-EPsvnKmA4&ved=0ahUKEwivl5OfkJWRAxW-8TgGHbK8EuMQ4dUDCBE&uact=5&oq=nter+the+following+into+the+interactive+shell%3A+%3E%3E%3E+import+PyPDF2+%3E%3E%3E+pdfFileObj+%3D+open%28%27meetingminutes.pdf%27%2C+%27rb%27%29+%3E%3E%3E+pdfReader+%3D+PyPDF2.PdfFileReader%28pdfFileObj%29+u+%3E%3E%3E+pdfReader.numPages+19+v+%3E%3E%3E+pageObj+%3D+pdfReader.getPage%280%29+w+%3E%3E%3E+pageObj.extractText%28%29+%27OOFFFFIICCIIAALL+BBOOAARhow+do+i+run+pythin+in+terminal&gs_lp=Egxnd3Mtd2l6LXNlcnAiuQJudGVyIHRoZSBmb2xsb3dpbmcgaW50byB0aGUgaW50ZXJhY3RpdmUgc2hlbGw6ID4-PiBpbXBvcnQgUHlQREYyID4-PiBwZGZGaWxlT2JqID0gb3BlbignbWVldGluZ21pbnV0ZXMucGRmJywgJ3JiJykgPj4-IHBkZlJlYWRlciA9IFB5UERGMi5QZGZGaWxlUmVhZGVyKHBkZkZpbGVPYmopIHUgPj4-IHBkZlJlYWRlci5udW1QYWdlcyAxOSB2ID4-PiBwYWdlT2JqID0gcGRmUmVhZGVyLmdldFBhZ2UoMCkgdyA-Pj4gcGFnZU9iai5leHRyYWN0VGV4dCgpICdPT0ZGRkZJSUNDSUlBQUxMIEJCT09BQVJob3cgZG8gaSBydW4gcHl0aGluIGluIHRlcm1pbmFsSABQAFgAcAB4AZABAJgBAKABAKoBALgBA8gBAPgBAZgCAKACAJgDAJIHAKAHALIHALgHAMIHAMgHAA&sclient=gws-wiz-serp,www.google.com/search,www.google.com,"nter the following into the interactive shell: >>> import PyPDF2 >>> pdfFileObj = open('meetingminutes.pdf', 'rb') >>> pdfReader = PyPDF2.PdfFileReader(pdfFileObj) u >>> pdfReader.numPages 19 v >>> pageObj = pdfReader.getPage(0) w >>> pageObj.extractText() 'OOFFFFIICCIIAALL BBOOAARhow do i run pythi",2025-11-28 23:12:00,28,11,21,1375,582,582,542,form_submit,2025-11
https://www.google.com/search?q=Download+this+PDF+from+http%3A%2F%2Fnostarch.com%2Fautomatestuff%2F%2C+and+enter+the+following+into+the+interactive+shell%3A+%3E%3E%3E+import+PyPDF2+%3E%3E%3E+pdfFileObj+%3D+open(%27meetingminutes.pdf%27%2C+%27rb%27)+%3E%3E%3E+pdfReader+%3D+PyPDF2.PdfFileReader(pdfFileObj)+u+%3E%3E%3E+pdfReader.numPages+19+v+%3E%3E%3E+pageObj+%3D+pdfReader.getPage(0)+w+%3E%3E%3E+pageObj.extractText()+%27OOFFFFIICCIIAALL+BBOOAARhow+do+i+run+pythin+in+terminal&oq=Download+this+PDF+from+http%3A%2F%2Fnostarch.com%2Fautomatestuff%2F%2C+and+enter+the+following+into+the+interactive+shell%3A+%3E%3E%3E+import+PyPDF2+%3E%3E%3E+pdfFileObj+%3D+open(%27meetingminutes.pdf%27%2C+%27rb%27)+%3E%3E%3E+pdfReader+%3D+PyPDF2.PdfFileReader(pdfFileObj)+u+%3E%3E%3E+pdfReader.numPages+19+v+%3E%3E%3E+pageObj+%3D+pdfReader.getPage(0)+w+%3E%3E%3E+pageObj.extractText()+%27OOFFFFIICCIIAALL+BBOOAARhow+do+i+run+pythin+in+terminal&gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDg5MDZqMGo3qAIIsAIB8QW9-AmfbgmLgQ&sourceid=chrome&ie=UTF-8,www.google.com/search,www.google.com,"Download this PDF from http://nostarch.com/automatestuff/, and enter the following into the interactive shell: >>> import PyPDF2 >>> pdfFileObj = open('meetingminutes.pdf', 'rb') >>> pdfReader = PyPDF2.PdfFileReader(pdfFileObj) u >>> pdfReader.numPages 19 v >>> pageObj = pdfReader.getPage(0) w >>> p",2025-11-28 23:09:00,28,11,21,1536,161,161,161,generated,2025-11
https://www.blackbox.ai/chat/thaghIs,www.blackbox.ai/chat/thaghIs,www.blackbox.ai,"import PyPDF pdfFileObj = open('TheCrucible.pdf', 'rb') pdfReader = PyPDF2.PdfFileReader(pdfFileObj) i cannot run this",2025-11-28 22:56:00,28,11,21,2287,2287,2287,752,link,2025-11
https://www.blackbox.ai/,www.blackbox.ai/,www.blackbox.ai,BLACKBOX.AI,2025-11-28 22:56:00,28,11,21,2319,2319,32,32,link,2025-11
